nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url
"Myprotein, Impact Creatine Stick Packs, 6g (Boxes) 10g",,Creatina,16.99,0.006,2831.67,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/myprotein-impact-creatine-stick-packs-6g-boxes/16445074/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/16445080-7935286542009388.png&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,"['Baya', 'Sin Sabor']",,,
Creatine Monohydrate Creapure 20 Sticks 3g,NutriSport,Creatina,11.61,0.003,3870.0,Nutritienda,https://www.nutritienda.com/es/nutrisport/creatine-monohydrate-creapure-20-sticks-3g,https://nutritienda-cdn.sirv.com/catalog/big/bp/209272-nutrisport-creatine-monohydrate-creapure-20sticksx3g.jpg?scale.width=170,2026-06-08,,3.5,20.0,,['Neutro'],,,
CREATINA EXCELL 1000mg (100% Creapure®),,Creatina,14.19,,,HSN,https://www.hsnstore.com/marcas/essential-series/creatina-excell-1000mg-100-creapure,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/c/r/creatine-creapure-vcaps-hsn_1.jpg,2026-06-08,,,120.0,False,,4.8,507.0,https://www.hsnstore.com/marcas/essential-series/creatina-excell-1000mg-100-creapure
CREATINA MONOHIDRATO (1000mg CREATINA),,Creatina,8.49,,,HSN,https://www.hsnstore.com/marcas/essential-series/creatina-monohidrato-1000mg-creatina,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/c/r/creatine-1000mg-gral-veg-caps-front-hsn_1_1.webp,2026-06-08,,,120.0,False,,4.75,172.0,https://www.hsnstore.com/marcas/essential-series/creatina-monohidrato-1000mg-creatina
EVOKALYN CREATINA ALCALINA,,Creatina,19.89,,,HSN,https://www.hsnstore.com/marcas/sport-series/evokalyn-creatina-alcalina,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evokalyn-creatine-veg-caps-hsn_1.jpg,2026-06-08,,,120.0,False,,4.75,427.0,https://www.hsnstore.com/marcas/sport-series/evokalyn-creatina-alcalina
KRE-ALKALYN® CREATINA 750mg,,Creatina,15.49,,,HSN,https://www.hsnstore.com/marcas/now-foods/kre-alkalyn-creatina-750mg,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/k/r/kre-alkalyn-vcaps-now-foods_1.jpg,2026-06-08,,,60.0,False,,4.7,11.0,https://www.hsnstore.com/marcas/now-foods/kre-alkalyn-creatina-750mg
Creatina Creapure® 80 cápsulas,,Creatina,29.99,,,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-80-capsulas,//static.sscontent.com/thumb/750/750/t/products/124/v1524166_prozis_creatine-creapure-80-caps_1.png,2026-06-08,,,,,,4.7,1.0,https://www.prozis.com/es/es/prozis/creatina-creapure-80-capsulas
Monohidrato de Creatina 90 comprimidos,,Creatina,23.99,,,Prozis,https://www.prozis.com/es/es/prozis/monohidrato-de-creatina-90-comprimidos,//static.sscontent.com/thumb/750/750/t/products/124/v1399430_prozis_creatine-monohydrate-90-tabs_1.png,2026-06-08,,,,,,4.74,1.0,https://www.prozis.com/es/es/prozis/monohidrato-de-creatina-90-comprimidos
Creatine Creapure® 320 caps,,Creatina,75.02,,,Prozis,https://www.prozis.com/es/es/prozis/creatine-creapure-320-caps,//static.sscontent.com/thumb/750/750/t/products/124/v1524182_prozis_creatine-creapure-320-caps_1.png,2026-06-08,,,,,,4.71,1.0,https://www.prozis.com/es/es/prozis/creatine-creapure-320-caps
Creatina Creapure® 90 comprimidos masticables,,Creatina,34.99,,,Prozis,https://www.prozis.com/es/es/prozis/creatina-creapure-90-comprimidos-masticables,//static.sscontent.com/thumb/750/750/t/products/124/v1516913_prozis_creatine-creapure-90-chewable-tabs_1.png,2026-06-08,,,,,['Limón'],4.94,1.0,https://www.prozis.com/es/es/prozis/creatina-creapure-90-comprimidos-masticables
Creatina Monohidrato en Tabletas,,Creatina,16.49,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-monohidrato-en-tabletas/10575029/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/10575029-1675340175270872.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,,,,
Gominolas de creatina,,Creatina,4.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/gominolas-de-creatina/13528283/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/16194624-2095340190170945.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,"['Limón', 'Frambuesa', 'Melocotón']",2.33,3.0,https://www.myprotein.es/p/nutricion-deportiva/gominolas-de-creatina/13528283/
Creatina Micronizada Creapure® Cápsulas,,Creatina,22.49,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/creatina-micronizada-creapure-capsulas/10574930/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/10574930-2114860399336489.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,,,,
Pack Get Stronger,,Creatina,41.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-get-stronger/14970298/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/14970298-2075276681399712.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,,4.58,19.0,https://www.myprotein.es/p/nutricion-deportiva/pack-get-stronger/14970298/
THE Electrofuel,,Creatina,18.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electrofuel/16570434/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/15152033-1905253818352786.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,"['Sin Sabor', 'Frambuesa y Limonada', 'Naranja y Mango', 'Cereza Negra']",,,
THE Electropower | Creatina + Electrolitos,,Creatina,27.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/the-electropower-creatina-electrolitos/16663175/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/16663176-1085278240252911.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,"['Raspberry Citrus', 'Sin Sabor']",3.0,3.0,https://www.myprotein.es/p/nutricion-deportiva/the-electropower-creatina-electrolitos/16663175/
Pack Essentials Protein,,Creatina,48.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/pack-essentials-protein/15758094/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/15758096-2005192371182042.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,,3.0,1.0,https://www.myprotein.es/p/nutricion-deportiva/pack-essentials-protein/15758094/
Mezcla de Vitaminas,,Creatina,23.99,,,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/mezcla-de-vitaminas/11060427/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/1600/1600/11060427-1434737321495276.jpg&format=webp&width=1500&height=1500&fit=cover,2026-06-08,,,,,,,,
Kre-Alkalyn 120 VCaps,Amazin' Foods,Creatina,18.99,,,Nutritienda,https://www.nutritienda.com/es/amazin-foods/kre-alkalyn-120-capsulas-vegetales,https://nutritienda-cdn.sirv.com/catalog/big/z/127416-amazin-foods-kre-alkalyn-120vcaps.jpg?scale.width=170,2026-06-08,,,30.0,,,4.6,10.0,https://www.nutritienda.com/es/amazin-foods/kre-alkalyn-120-capsulas-vegetales
CREATOR 120 Caps,Combina 5 tipos de creatinas,Creatina,25.9,,,Nutritienda,https://www.nutritienda.com/es/biotech-usa/creator-120-caps,https://nutritienda-cdn.sirv.com/catalog/big/c/12000-biotech-usa-creator-120caps-v3.jpg?scale.width=170,2026-06-08,0.2,,20.0,,,,,
KREA7 SUPERALKALINE 180 Tabs,Creatina,Creatina,47.61,,,Nutritienda,https://www.nutritienda.com/es/ironmaxx/krea7-superalkaline-180-tabs,https://nutritienda-cdn.sirv.com/catalog/big/96292-ironmaxx-krea7-superalkaline-180tabs.jpg?scale.width=170,2026-06-08,0.1,,198.0,,,4.82,1.0,https://www.nutritienda.com/es/ironmaxx/krea7-superalkaline-180-tabs
Kre-Alkalyn® 120 + 30 Caps,AMIX NUTRITION,Creatina,41.7,,,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-kre-alkalyn-150-caps,https://nutritienda-cdn.sirv.com/catalog/big/a/680-amix-nutrition-kre-alkalyn-150caps-v2.jpg?scale.width=170,2026-06-08,0.0,,75.0,,,4.58,7.0,https://www.nutritienda.com/es/amix-nutrition-kre-alkalyn-150-caps
Kre-Alkalyn 3000 120 Caps,QUAMTRAX,Creatina,28.9,,,Nutritienda,https://www.nutritienda.com/es/quamtrax-kre-alkalyn-3000-120-caps,https://nutritienda-cdn.sirv.com/catalog/big/a/217-quamtrax-kre-alkalyn-3000-120caps-v3.jpg?scale.width=170,2026-06-08,0.0,,30.0,,,4.39,27.0,https://www.nutritienda.com/es/quamtrax-kre-alkalyn-3000-120-caps
Creatine HCL 120 Caps,Amix Pro,Creatina,28.9,,,Nutritienda,https://www.nutritienda.com/es/amix-pro/creatine-hcl-120-caps,https://nutritienda-cdn.sirv.com/catalog/big/x/119781-amix-pro-creatine-hci-120caps.jpg?scale.width=170,2026-06-08,,,30.0,,,4.77,7.0,https://www.nutritienda.com/es/amix-pro/creatine-hcl-120-caps
Black Line Creatine Creapure Capsules 120 VCaps,Amix Nutrition,Creatina,31.5,,,Nutritienda,https://www.nutritienda.com/es/amix-nutrition/black-line-creatine-creapure-capsules-120-capsulas-vegetales,https://nutritienda-cdn.sirv.com/catalog/big/de/52d5bf7f-5186-41b7-a636-ba0ffc2af000.jpg?scale.width=170,2026-06-08,,,30.0,,,,,
KR2 Creapure PH10  120 Caps,Starlabs Nutrition,Creatina,22.86,,,Nutritienda,https://www.nutritienda.com/es/starlabs-nutrition/kr2-creapure-ph10-120-capsulas,https://nutritienda-cdn.sirv.com/catalog/big/c/12039-starlabs-nutrition-kr2-creapure-ph10-120caps-v4.jpg?scale.width=170,2026-06-08,,,15.0,,,4.74,5.0,https://www.nutritienda.com/es/starlabs-nutrition/kr2-creapure-ph10-120-capsulas
CREATINA PH-X 90 Caps,Creatina monohidrato tamponada,Creatina,17.9,,,Nutritienda,https://www.nutritienda.com/es/biotech-usa/creatina-ph-x-90-caps,https://nutritienda-cdn.sirv.com/catalog/big/c/14611-biotech-usa-creatine-ph-x-90caps-v3.jpg?scale.width=170,2026-06-08,0.0,,22.0,,,4.62,4.0,https://www.nutritienda.com/es/biotech-usa/creatina-ph-x-90-caps
Creatine Monohydrate 220 Caps,AMIX NUTRITION,Creatina,40.9,,,Nutritienda,https://www.nutritienda.com/es/amix-nutrition-creatina-monohidrato-220-caps,https://nutritienda-cdn.sirv.com/catalog/big/a/679-amix-nutrition-creatine-monohydrate-220caps-v2.jpg?scale.width=170,2026-06-08,4.73,,36.0,,,4.57,2.0,https://www.nutritienda.com/es/amix-nutrition-creatina-monohidrato-220-caps
Creatine Monohydrate Creapure 150 Tabs,NutriSport,Creatina,20.61,,,Nutritienda,https://www.nutritienda.com/es/nutrisport/creatine-monohydrate-creapure-200-tabletas,https://nutritienda-cdn.sirv.com/catalog/big/c/11979-nutrisport-creatine-monohydrate-creapure-200tabs-v2.jpg?scale.width=170,2026-06-08,,,,,,4.77,2.0,https://www.nutritienda.com/es/nutrisport/creatine-monohydrate-creapure-200-tabletas
Creatine 220 VCaps,Quamtrax,Creatina,21.5,,,Nutritienda,https://www.nutritienda.com/es/quamtrax/creatine-220-capsulas-vegetales,https://nutritienda-cdn.sirv.com/catalog/big/bk/9d5a147b-239a-4ad4-ca15-a77679ba8200.jpg?scale.width=170,2026-06-08,,,55.0,,,,,
CREATINE ZERO EFFERVESCENT 16 Tabs,,Creatina,7.5,,,Nutritienda,https://www.nutritienda.com/es/biotech-usa/creatine-zero-effervescent-16-tabs,https://nutritienda-cdn.sirv.com/catalog/big/95352-biotech-usa-creatine-zero-effervescent-16tabs.jpg?scale.width=170,2026-06-08,,,16.0,,['Orange (Red Orange)'],4.86,20.0,https://www.nutritienda.com/es/biotech-usa/creatine-zero-effervescent-16-tabs
BICARBONATO DE SODIO EN POLVO 150g,,Pre-Entreno,0.86,0.15,5.73,HSN,https://www.hsnstore.com/marcas/raw-series/bicarbonato-de-sodio-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/s/o/sodium-bicarbonate-front-gral-hsn_1.webp,2026-06-08,,,,False,,4.7,36.0,https://www.hsnstore.com/marcas/raw-series/bicarbonato-de-sodio-en-polvo
ISOMALTULOSA (Palatinose™) EN POLVO 1kg,,Pre-Entreno,7.92,1.0,7.92,HSN,https://www.hsnstore.com/marcas/raw-series/isomaltulosa-palatinose-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/p/a/palatinose-powder-hsn1_1.jpg,2026-06-08,0.0,50.0,60.0,False,['SIN SABOR'],4.7,180.0,https://www.hsnstore.com/marcas/raw-series/isomaltulosa-palatinose-en-polvo
EVOBEAST 1kg,,Pre-Entreno,14.45,1.0,14.45,HSN,https://www.hsnstore.com/marcas/sport-series/evobeast,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/e/v/evobeast-gral-hsn_1.webp,2026-06-08,,50.0,20.0,False,"['BEBIDA ENERGÉTICA', 'GROSELLA NEGRA', 'LIMÓN', 'MANGO', 'NARANJA', 'PONCHE DE FRUTAS']",4.65,295.0,https://www.hsnstore.com/marcas/sport-series/evobeast
ÁCIDO MÁLICO EN POLVO 150g,,Pre-Entreno,3.37,0.15,22.47,HSN,https://www.hsnstore.com/marcas/raw-series/acido-malico-en-polvo,https://www.hsnstore.com/media/catalog/product/cache/67ee89799642c567a71fc92f3699d937/m/a/malic-acid-powder-hsn1_1.jpg,2026-06-08,,,625.0,False,,4.7,215.0,https://www.hsnstore.com/marcas/raw-series/acido-malico-en-polvo
Pre-workout Protein Mug Cake - Speculoos 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-speculoos-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526654_prozis_pre-workout-protein-mug-cake-premix-speculoos-400-g_1.png,2026-06-08,,,,,"['Café y Caramelo', 'Chocolate', 'Speculoos', 'Vainilla y pepitas de chocolate']",4.59,1.0,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-speculoos-400-g
Pre-workout Protein Mug Cake - Café y Caramelo 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-cafe-y-caramelo-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526591_prozis_pre-workout-protein-mug-cake-premix-coffee--caramel-400-g_1.png,2026-06-08,,,,,"['Café y Caramelo', 'Chocolate', 'Speculoos', 'Vainilla y pepitas de chocolate']",4.64,1.0,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-cafe-y-caramelo-400-g
Pre-workout Protein Mug Cake - Chocolate 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-chocolate-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526579_prozis_pre-workout-protein-mug-cake-premix-chocolate-400-g_1.png,2026-06-08,,,,,"['Café y Caramelo', 'Chocolate', 'Speculoos', 'Vainilla y pepitas de chocolate']",4.67,1.0,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-chocolate-400-g
Pre-workout Protein Mug Cake Premix - Vainilla y Pepitas de Chocolate 400 g,,Pre-Entreno,9.99,0.4,24.97,Prozis,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-premix-vainilla-y-pepitas-de-chocolate-400-g,//static.sscontent.com/thumb/750/750/t/products/124/v1526642_prozis_pre-workout-protein-mug-cake-premix-vanilla--choco-chips-400-g_1.png,2026-06-08,,,,,"['Café y Caramelo', 'Chocolate', 'Speculoos', 'Vainilla y pepitas de chocolate']",4.71,1.0,https://www.prozis.com/es/es/prozis/pre-workout-protein-mug-cake-premix-vainilla-y-pepitas-de-chocolate-400-g
