nombre,marca,categoria,precio_eur,peso_kg,precio_por_kg,tienda,url,imagen_url,fecha_scraping,protein_per_serving_g,serving_size_g,servings_per_container,sweetener_free,flavors_available,store_rating,store_rating_count,store_rating_url,protein_subtype
L-Carnitina en polvo 500g,,Pre-Entreno,39.99,0.5,79.98,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/l-carnitina-en-polvo/10529729/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/10529733-5365199715247889.jpg&format=webp&width=1500&height=1500&fit=cover,2026-09-23,,,,,,4.38,24.0,https://www.myprotein.es/p/nutricion-deportiva/l-carnitina-en-polvo/10529729/,
Pump 3G Zero Stimulant Pre-Workout 375g,Applied Nutrition,Pre-Entreno,30.9,0.375,82.4,Nutritienda,https://www.nutritienda.com/es/applied-nutrition/pump-3g-zero-stimulant-pre-workout-375g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/7df7c047-4d0b-4a5f-6085-e0a0b6f3bb00/public,2026-09-23,,,,,,,,,
ATP Extreme 440g,Vitobest,Pre-Entreno,36.72,0.44,83.45,Nutritienda,https://www.nutritienda.com/es/vitobest/atp-extreme-440g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/aaaca508-7061-4195-e7bd-31624a594b00/public,2026-09-23,,,,,,,,,
Hot Blood No Stim 375g,Scitec,Pre-Entreno,31.9,0.375,85.07,Nutritienda,https://www.nutritienda.com/es/scitec/hot-blood-no-stim-375g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/ed62761f-2ca0-4102-4d5c-81d73b761700/public,2026-09-23,,,,,,,,,
R-Weiler Focus 300g,Olimp,Pre-Entreno,25.8,0.3,86.0,Nutritienda,https://www.nutritienda.com/es/olimp/r-weiler-focus-300g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/0f49aedf-51f3-458e-88af-d421ca827d00/public,2026-09-23,,,,,,,,,
Impact Pre-Entreno – Venom 440g,,Pre-Entreno,38.99,0.44,88.61,MyProtein,https://www.myprotein.es/p/nutricion-deportiva/impact-pre-entreno-venom/17585477/,https://main.thgimages.com?url=https://static.thcdn.com/productimg/original/17463022-1305288565142815.jpg&format=webp&width=1500&height=1500&fit=cover,2026-09-23,,,,,,,,,
The Shadow 270 g,Cobra Labs,Pre-Entreno,24.2,0.27,89.63,Nutritienda,https://www.nutritienda.com/es/cobra-labs/the-shadow-270g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/cf8b4859-750a-414e-a2ee-cf0656d8ae00/public,2026-09-23,,,,,,4.0,1.0,https://www.nutritienda.com/es/cobra-labs/the-shadow-270g,
Pump Caffeine Free 330g,Biotech Usa,Pre-Entreno,29.9,0.33,90.61,Nutritienda,https://www.nutritienda.com/es/biotech-usa/pump-caffeine-free-330g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/5e2da6b7-20b0-41cc-c32c-8817a872d300/public,2026-09-23,,,,,,,,,
GOLD STANDARD PRE-WORKOUT 330g,Optimum Nutrition,Pre-Entreno,29.99,0.33,90.88,Nutritienda,https://www.nutritienda.com/es/optimum-nutrition/gold-standard-plant-pre-workout,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/761ae3f9-174f-4e1c-58ac-05580cf6c600/public,2026-09-23,,,,,,4.3,264.0,https://www.nutritienda.com/es/optimum-nutrition/gold-standard-plant-pre-workout,
POW3RD! 2.0 - 350 g,Scitec,Pre-Entreno,31.9,0.35,91.14,Nutritienda,https://www.nutritienda.com/es/scitec-nutrition-pow3rd-2-350g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/bb06bf14-dc5a-4a24-d606-3a5a1187ce00/public,2026-09-23,,,,,,4.3,64.0,https://www.nutritienda.com/es/scitec-nutrition-pow3rd-2-350g,
Amino Energy Zero 360g,Biotech Usa,Pre-Entreno,32.9,0.36,91.39,Nutritienda,https://www.nutritienda.com/es/biotech-usa/amino-energy-zero-360g,https://imagedelivery.net/-uGyOE-KT6ZqyPmPyh8-iw/a88b9a53-0b50-4a4f-9dee-2ecae7ceed00/public,2026-09-23,,,,,,4.7,13.0,https://www.nutritienda.com/es/biotech-usa/amino-energy-zero-360g,
